OrchardID,NrKlant,NmKlant,NrKlantGenby,MonstGenBij,Adres2,Adres3,Adres4,NrOrder,NrOndz,Subcategorie,Sample description,Material,OmTypeMonster,DtMonster,DtVerslag,BemDiepteLg,BemDiepteHg,NrMonsterRm,TVocht,Moisture,TDroge stof,Droge stof,Tleeg3,leeg3,TN-Tot,Total nitrogen stock (mg N/kg),TCN,C/N ratio,TN-Levering,N-supplying capacity (kg N/ha),TC-totaal,C-totaal,TP-totaal,Total P-stock (mg P2O5/100g),TP-PAE,P-PAE,TAdviesPw,AdviesPw,TP-AL,P-AL,TK,K,TK-vrd,K-soil stock (mmol+/kg),TK-getal,K-getal,TS-totaal,Total sulphur stock (mg S/kg),TSLV,S-supplying capacity (kg S/ha),TSaanv,Saanv,TMg,Mg,TK/Mg,K/Mg,TNa,Na,TB,B,TCu-PAE,Cu-PAE,TMn,Mn,TCo-PAE,Co-PAE,TZn-PAE,Zn-PAE,TpH_NIR,pH_NIR,TpH,pH,TKZK,Carbonate lime (%),TOS,Organic matter (%),TLutum,Clay % (<2 μm),TCEC,Clay-humus (CEC)CEC (mmol+/kg),TCEC-Bez.,CEC-saturation (%),TS-PAE,S-PAE,TMicr.activiteit,Microbial activity (mg N/kg),TC/S,C/S ratio,TEc,Ec,TCl,Cl,TAl-ox,Al-ox,TFe-ox,Fe-ox,TP-ox,P-ox,TCadmium,Cadmium,TChroom,Chroom,TKoper,Koper,TKwik,Kwik,TNikkel,Nikkel,TLood,Lood,TZink,Zink,TArseen,Arseen,TN-NO3(dr),N-NO3(dr),TN-NO3 (kg/ha),N-NO3 (kg/ha),TCa-vrd,Ca-soil stock (mmol+/kg),TMg-vrd,Mg-soil stock (mmol+/kg),TNa-vrd,Na-soil stock (mmol+/kg),TH-bez,H-saturation (%),TAl-bez,AL-saturation (%),Tverkr.bh,Soil crumbling score,Tverslemp,Soil slaking score,Tmicro.bm,micro.bm,Tbact.bm,bact.bm,Tschim.bm,schim.bm,TAmm-N(dr),Amm-N(dr),TVrd-N(dr),Vrd-N(dr),TPw,Pw,T0-2 P,0-2 P,T2-16 P,2-16 P,T16-50 P,16-50 P,T50-105 P,50-105 P,T105-150 P,105-150 P,T150-210 P,150-210 P,T210-300 P,210-300 P,T300-420 P,300-420 P,T420-600 P,420-600 P,T600-2000 P,600-2000 P,TM50  P,M50  P,TD10/60  P,D10/60  P,TSe,Se,TM50_NIR,M50μm (medium value of the sand fraction) ,TCa-bez,Ca-saturation (%),TMg-bez,Mg-saturation (%),TK-bez,K-saturation (%),TNa-bez,Na-saturation (%),TN-tot-opl,N-tot-opl,TN-org-opl,N-org-opl,Tschim./bact,schim./bact,TpH-CaCl2,pH-CaCl2,T0-2,0-2,T2-16,2-16,T16-50,16-50,T50-63,50-63,T63-125,63-125,T125-180,125-180,T180-250,180-250,T250-355,250-355,T355-500,355-500,T500-1000,500-1000,T1000-2000,1000-2000,TM50,M50,TD60/D10,D60/D10,TCa-besch,Ca-besch,TCa-voorr,Ca-soil stock (kg Ca/ha),TP-verz.graad,P-verz.graad,TC-org,C-organic SOC (%),TC-anorg,C-anorg,T2-50,2-50,T50-2000,50-2000,TCa-besch (mmol/l),Ca-besch (mmol/l),TC/OS,C/OS ratio,TSilt,Silt % (2-50 μm),TZand,Sand % (>50 μm),TSi,Si,TMo,Mo,TFe,Fe,TK_HCl,K_HCl,pF 2.0 (%) Field Capacity,pF 4.2 (%) Wilting Point,Density g/cm3
25ACRBLACK,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5215232,777426,BEM,25ACRBLACK 17456,BODEM,Loess,08102020,03112020,0,25,0,,1.6,,,,,,1590,,11,,85,,,,115,,,,,,,,,,4.1,,,,425,,26,,30,,,,,,,,,,,,,,,,,,,,4.8,,1.2,,2.4,,16,,138,,78,,,,32,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,12.1,,1.1,<,0.1,,0.8,,7.4,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,65,,8.8,,3,,0.8,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5590,,,,1.8,,,,,,,,,,0.75,,45,,35,,,,,,,,,36.2,12.8,1.24
25ACRE,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5215232,777425,BEM,25ACRE 17455,BODEM,Loess,08102020,03112020,0,25,0,,1.6,,,,,,2120,,11,,110,,,,187,,,,,,,,,,3.7,,,,475,,25,,29,,,,,,,,,,,,,,,,,,,,6,,1.1,,4.1,,18,,165,,98,,,,58,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,11.6,,1,<,0.1,<,0.1,,7.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,88,,7,,2.2,,0.6,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8630,,,,2.4,,,,,,,,,,0.59,,47,,30,,,,,,,,,38.9,16.4,1.18
5ACRES,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5223494,778147,BEM,5ACRES 18384,BODEM,Loess,08102020,23112020,0,25,0,,3.1,,,,,,3440,,9,,180,,,,201,,,,,,,,,,5.9,,,,360,,13,,17,,,,,,,,,,,,,,,,,,,,6.8,,1.1,,5,,49,,283,,97,,,,102,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,37.5,,2.1,<,0.1,<,0.1,,3.5,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,81,,13,,2.1,,0.7,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13265,,,,3,,,,,,,,,,0.6,,20,,25,,,,,,,,,45.2,27.1,1.15
9ACRE,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211128,776679,BEM,9ACRE 16447,BODEM,Loess,08102020,12112020,0,15,0,,1.9,,,,,,1890,,9,,65,,,,132,,,,,,,,,,4,,,,215,,5,,9,,,,,,,,,,,,,,,,,,,,5.6,,0.3,,3.6,,22,,153,,98,,,,55,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,25.7,,1,<,0.1,<,0.1,,6.2,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,78,,17,,2.6,,0.7,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,,,1.8,,,,,,,,,,0.5,,53,,21,,,,,,,,,39.8,17.7,1.20
AMBERFIELD,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5222807,778034,BEM,AMBERFIELD 18223,BODEM,Loess,08102020,12112020,0,25,0,,1.5,,,,,,1300,,13,,60,,,,15,,,,,,,,,,1.8,,,,405,,24,,28,,,,,,,,,,,,,,,,,,,,5.1,,1.4,,2.4,,15,,188,,65,,,,32,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,16.1,,1.1,<,0.1,<,0.1,,7.7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,55,,8.6,,1,,0.6,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,,,,1.7,,,,,,,,,,0.71,,28,,53,,,,,,,,,33.5,11.3,1.24
AMOS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5213843,777288,BEM,AMOS 17584,BODEM,Loess,08102020,02112020,0,25,0,,1.3,,,,,,2260,,15,,85,,,,255,,,,,,,,,,3.8,,,,475,,18,,22,,,,,,,,,,,,,,,,,,,,6.3,,1,,6.8,,10,,143,,99,,,,49,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,14.9,,0.9,<,0.1,<,0.1,,9.1,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,86,,10,,2.7,,0.6,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6765,,,,3.4,,,,,,,,,,0.5,,55,,27,,,,,,,,,40.2,15.9,1.10
APLTREECRN,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5210927,776827,BEM,APLTREECRN 16891,BODEM,Loess,08102020,12112020,0,15,0,,1.7,,,,,,3160,,13,,75,,,,276,,,,,,,,,,7.3,,,,670,,17,,21,,,,,,,,,,,,,,,,,,,,6.9,,1.3,,7.7,,6,,191,,95,,,,93,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,21.6,,2,<,0.1,<,0.1,,9.7,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,79,,11,,3.8,,1,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875,,,,4.1,,,,,,,,,,0.53,,26,,59,,,,,,,,,37.8,14,1.07
ARCHHOUSE,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5223514,778218,BEM,ARCHHOUSE 18374,BODEM,Loess,08102020,12112020,0,25,0,,1.3,,,,,,1680,,11,,85,,,,131,,,,,,,,,,5.7,,,,255,,11,,15,,,,,,,,,,,,,,,,,,,,4.6,,1,,3.6,,14,,102,,75,,,,63,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,19.9,,1,,0.3,,2.9,,8,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,48,,20,,5.6,,1,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,,,,1.8,,,,,,,,,,0.5,,49,,32,,,,,,,,,37.5,13.7,1.20
BADGERS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5211128,776680,BEM,BADGERS 16448,BODEM,Loess,08102020,12112020,0,15,0,,1.8,,,,,,1920,,9,,65,,,,149,,,,,,,,,,4,,,,245,,6,,10,,,,,,,,,,,,,,,,,,,,4.5,,0.8,,3.4,,20,,142,,76,,,,61,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,21.4,,0.4,,0.2,,4.8,,6.4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,58,,15,,2.8,,0.3,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005,,,,1.8,,,,,,,,,,0.53,,60,,16,,,,,,,,,39.6,16.5,1.20
BAKERS,8696497,Eurofins Agro Testing UK,0,Eurofins Agro Testing UK,,,,5213843,777289,BEM,BAKERS 17585,BODEM,Loess,08102020,02112020,0,25,0,,1.3,,,,,,1620,,9,,100,,,,104,,,,,,,,,,3.7,,,,275,,14,,18,,,,,,,,,,,,,,,,,,,,4.5,,0.8,,2.7,,11,,105,,73,,,,42,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,10.2,,0.7,,0.3,,4.8,,8.5,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,59,,9.7,,3.5,,0.7,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820,,,,1.5,,,,,,,,,,0.56,,38,,48,,,,,,,,,34.1,10.3,1.23
